,,,Q_5014,Q_5449,Q_5308,Q_5299,Q_5144,Q_5035,Q_5015,Q_5450,Q_5161,Q_5159,Q_5036,Q_5016,Q_5037,Q_5474,Q_5160,Q_5038,Q_5017,Q_5018,Q_5039,Q_5019,Q_5020,Q_5021,Q_5022,Q_5023,Q_5024,Q_5025,Q_5026,Q_5027,Q_5263,Q_5470,Q_5028,Q_5029,Q_5030,Q_5031,Q_5032,Q_5033,Q_5034,"External ID","Alert Times",Model,OS
"2022-01-18 16:11:20","2022-01-18 16:11:19",ruby-dj2nb,NA,N/A,N/A,N/A,0.84,NA,N/A,N/A,NA,4.38,D32E1597-4810-48CD-9A19-4AC4D6277F47,6.77,C18ED4B2-2CBA-49B6-A187-418FAA83AFDC,N/A,NA,N/A,6.77,6.85,N/A,6.73,6.83,7.22,7.28,6.74,7.85,6.84,7.34,N/A,7.15,N/A,2,N/A,NA,7.08,5.52,7.23,6.96,N/A,N/A,N/A,N/A
"2022-01-18 16:43:14","2022-01-18 16:43:13",chart-pl3l9,N/A,N/A,N/A,N/A,10.00,N/A,N/A,N/A,N/A,9.00,1174dfab-2c92-4a1f-bd05-3141cd779d28,1.00,de506c41-95bf-4fd1-9184-f91c53870f98,N/A,N/A,N/A,1.00,1.00,N/A,3.00,2.00,1.00,0.00,2.00,1.00,1.00,0.00,N/A,1.00,N/A,2,N/A,N/A,3.00,3.00,2.00,2.00,N/A,N/A,SM-J737V,9
"2022-01-18 17:23:54","2022-01-18 17:23:53",clade-69l6u,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.00,7a0ac21d-36a3-4da7-868a-fac43cd54104,6.00,N/A,N/A,N/A,N/A,6.00,6.00,N/A,5.00,6.00,6.00,6.00,6.00,6.00,6.00,7.00,N/A,6.00,N/A,2,N/A,N/A,7.00,6.00,7.00,6.00,N/A,N/A,N/A,N/A
"2022-01-18 17:54:20","2022-01-18 17:54:19",clag-nb343,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,7.00,e195f849-8958-437e-b4d3-8eaa849d8c12,7.00,b44865af-1cc3-4808-b67b-7fcde505b735,N/A,N/A,N/A,7.00,8.00,N/A,6.00,7.00,7.00,7.00,N/A,6.00,7.00,8.00,N/A,8.00,N/A,2,N/A,N/A,8.00,8.00,8.00,7.00,N/A,N/A,N/A,N/A
"2022-01-18 18:08:29","2022-01-18 18:08:28",brio-k9g9p,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,6.00,f3fc0ab3-840f-4174-a73f-938431e17256,7.00,cacaf168-6581-49ed-a7cc-c4bdf7a77986,N/A,N/A,N/A,7.00,2.00,N/A,7.00,2.00,7.00,2.00,2.00,2.00,8.00,2.00,N/A,8.00,N/A,2,N/A,N/A,3.00,8.00,3.00,8.00,N/A,N/A,"Pixel 2 XL",11
"2022-01-19 13:06:53","2022-01-19 13:06:52",brio-k9g9p,N/A,N/A,N/A,N/A,6.00,N/A,N/A,N/A,N/A,6.00,3e4717c6-9eac-4186-97a7-f93426de9ac4,5.00,63a0262c-65de-48a1-afc9-f4bd732f3a9a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.00,7.00,7.00,6.00,N/A,N/A,"Pixel 2 XL",11
"2022-01-19 15:18:16","2022-01-19 15:18:13",brio-k9g9p,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,6.00,f6e70242-398a-4806-b679-af8ef5db8166,6.00,51545103-a72c-4a3c-a195-0910248e37ca,N/A,N/A,N/A,6.00,6.00,N/A,6.00,6.00,5.00,6.00,6.00,4.00,6.00,5.00,N/A,6.00,N/A,N/A,N/A,N/A,5.00,6.00,6.00,7.00,N/A,N/A,"Pixel 2 XL",11
"2022-01-19 15:26:06","2022-01-19 15:26:03",brio-k9g9p,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,6.00,b0d97973-1e6b-423d-afe1-2ea219344ea6,7.00,fee61b34-d4d5-461f-ad87-c46f47852e05,N/A,N/A,N/A,7.00,7.00,N/A,7.00,7.00,N/A,8.00,8.00,8.00,8.00,8.00,N/A,8.00,N/A,2,N/A,N/A,8.00,8.00,8.00,8.00,N/A,N/A,"Pixel 2 XL",11
"2022-01-19 16:09:56","2022-01-19 16:09:56",ruby-dj2nb,NA,N/A,N/A,N/A,8.08,NA,N/A,N/A,NA,7.27,94DA92A0-A133-4192-95CC-CE727DD7559A,7.29,5945038B-5679-4667-8974-5321FCA3EFCE,N/A,NA,N/A,7.49,7.73,N/A,7.75,7.51,7.47,7.63,7.53,7.93,7.85,7.48,N/A,7.01,N/A,2,N/A,NA,6.85,7.71,7.09,7.34,N/A,N/A,N/A,N/A
"2022-01-20 13:25:52","2022-01-20 13:25:49",clary-sp0jp,NA,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,5E6BAD09-F2BA-4227-9912-8662AC7C8E03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,N/A,N/A,N/A,N/A,j,N/A,N/A,N/A
"2022-01-20 16:19:36","2022-01-20 16:19:35",rate-hx30w,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2e382bf9-d52e-4b74-a965-25bb4d53913c,N/A,29b09275-ff67-439b-90fa-a2c0766b90f3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Mi 9T Pro",10
"2022-01-21 10:13:44","2022-01-21 10:10:58",embar-rq0cp,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,7.00,2e4cf812-e0c6-4ea7-ba9d-1a680f34861e,7.00,1585b8cb-f533-41fb-9890-a67fafde5906,N/A,N/A,N/A,6.00,6.00,N/A,6.00,6.00,7.00,7.00,6.00,7.00,6.00,6.00,N/A,6.00,N/A,1,8.00,N/A,7.00,7.00,7.00,7.00,N/A,N/A,SM-G781U,12
"2022-02-04 12:15:36","2022-02-04 12:15:34",embar-rq0cp,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,8.00,d52944f5-9e58-49d6-891b-7f0aaf2b81e0,8.00,91e49fd3-dfd4-40bc-9730-4d4c9e2ee4db,N/A,N/A,N/A,7.00,7.00,N/A,8.00,8.00,7.00,8.00,8.00,8.00,4.00,3.00,N/A,4.00,N/A,1,8.00,N/A,7.00,7.00,7.00,7.00,N/A,N/A,SM-G781U,12
"2022-02-07 14:39:15","2022-02-07 14:39:14",embar-rq0cp,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,7.00,397da6c3-2eb4-4ef7-b393-7b4b670922ca,7.00,3d8433ab-d149-484d-b457-3f53e18e005b,N/A,N/A,N/A,7.00,8.00,N/A,8.00,7.00,7.00,7.00,8.00,7.00,8.00,7.00,N/A,N/A,7.00,2,N/A,N/A,7.00,7.00,7.00,8.00,N/A,N/A,SM-G781U,12
"2022-02-08 14:26:58","2022-02-08 14:26:58",embar-rq0cp,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,7.00,a2423880-3480-4fb4-bd2c-dc0192cd406e,8.00,365908fd-bc68-43ea-93ac-46f70bced08a,N/A,N/A,N/A,8.00,8.00,N/A,8.00,7.00,7.00,7.00,7.00,6.00,3.00,6.00,N/A,N/A,8.00,1,7.00,N/A,7.00,7.00,8.00,7.00,N/A,N/A,SM-G781U,12
"2022-02-08 14:32:41","2022-02-08 14:32:41",embar-rq0cp,N/A,N/A,N/A,N/A,9.00,N/A,N/A,N/A,N/A,7.00,18bf8ec9-cea7-4960-b7c6-423ba3ed183c,7.00,653e9b99-8a45-432a-9337-c8e7cf17b4e3,N/A,N/A,N/A,8.00,7.00,N/A,7.00,7.00,7.00,7.00,7.00,7.00,2.00,7.00,N/A,N/A,2.00,2,N/A,N/A,8.00,10.00,7.00,7.00,N/A,N/A,SM-G781U,12
"2022-02-09 16:02:34","2022-02-09 16:02:32",embar-rq0cp,N/A,N/A,N/A,N/A,5.00,N/A,N/A,N/A,N/A,6.00,a4082db7-aae9-4da0-bd55-5010be2085e4,7.00,cf875254-7a5a-44a1-a322-1667b1cdcb08,N/A,N/A,N/A,8.00,7.00,N/A,6.00,7.00,7.00,3.00,8.00,7.00,8.00,8.00,N/A,N/A,7.00,1,7.00,N/A,8.00,8.00,3.00,8.00,N/A,"2022-02-09 10:59:37",SM-G781U,12
"2022-02-09 16:16:21","2022-02-09 16:16:19",embar-rq0cp,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,7.00,377c84a0-327e-450d-9e6e-4e2112ac5dd4,7.00,e2f92158-615f-4568-a483-ab99313ac17d,N/A,N/A,N/A,7.00,7.00,N/A,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,N/A,N/A,7.00,2,N/A,N/A,7.00,7.00,7.00,7.00,N/A,N/A,SM-G781U,12
"2022-02-09 16:44:18","2022-02-09 16:44:17",adits-7su5o,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Pixel 3a",12
"2022-02-09 16:48:10","2022-02-09 16:48:09",adits-7su5o,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Pixel 3a",12
"2022-02-09 17:48:28","2022-02-09 17:48:27",scag-6vn4n,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,304dba07-3f4c-4a1b-8f44-cff97e1bb9af,N/A,9d5b2eb2-74de-4320-a130-e034b01e7238,e7c01135-9b0b-4f8e-bf6b-4559a2c62245,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Mi 9T Pro",10
"2022-02-09 18:55:49","2022-02-09 18:55:47",embar-rq0cp,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,6.00,1aecd5a8-2d8f-4e23-ac32-eb9f70ec9fae,6.00,4625a84e-781d-4453-bf11-b79648644d0c,N/A,N/A,N/A,7.00,7.00,N/A,7.00,7.00,6.00,7.00,7.00,7.00,6.00,7.00,N/A,N/A,6.00,N/A,N/A,N/A,8.00,7.00,8.00,8.00,N/A,N/A,SM-G781U,12
"2022-02-09 19:22:39","2022-02-09 19:22:37",embar-rq0cp,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,7.00,7c6935fc-3c54-4618-9452-08e7995aae73,8.00,a8f61e08-a630-4bcd-a15a-8c02ab204c34,930c9348-57fa-4fee-91c7-14ff9d8c2393,N/A,N/A,8.00,4.00,N/A,7.00,8.00,8.00,8.00,8.00,7.00,7.00,8.00,N/A,N/A,8.00,2,N/A,N/A,8.00,8.00,8.00,8.00,N/A,N/A,SM-G781U,12
"2022-02-14 12:13:30","2022-02-14 12:13:28",embar-rq0cp,N/A,N/A,N/A,N/A,8.00,N/A,N/A,N/A,N/A,6.00,f2079809-030f-419b-bafa-2cfb1b662eaa,7.00,9fdb25bd-38b2-4e01-9b1d-9d8ce321c2af,e6d6263d-c923-41b2-8f07-a8c360a77b7d,N/A,N/A,6.00,6.00,N/A,5.00,7.00,7.00,7.00,7.00,7.00,6.00,7.00,N/A,N/A,7.00,N/A,N/A,N/A,7.00,7.00,7.00,8.00,N/A,"2022-02-14 11:57:39",SM-G781U,12
"2022-02-15 11:36:46","2022-02-15 11:36:44",embar-rq0cp,N/A,N/A,N/A,N/A,7.00,N/A,N/A,N/A,N/A,7.00,53cf22ab-57a7-4957-94fa-ccebd51c5ca7,7.00,75cd5b1f-70dc-4adc-937f-dcad612f804f,22036268-c6b7-4190-9d1d-7e4eefa1040c,N/A,N/A,7.00,3.00,N/A,7.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,N/A,N/A,7.00,2,N/A,N/A,7.00,7.00,8.00,7.00,N/A,"2022-02-15 11:33:00",SM-G781U,12
