wearit_uuid,m2c2_cogtask,participant_id,device_model,device_os,survey_date_submitted,survey_date_completed,first_char,format_valid,cogtask_cps,cogtask_name,time_stamp,os,trial_num,responseTime,cogtask_type,cogtask_trial_params,cogtask_display_name,cogtask_fps,block_id,block_trial_num,trial_uuid,block_num,trialset_id,trial_type,response,letter,cogtask_all_params_checksum,cogtask_run_uuid
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,62.009419152276294,Go No Go,2022/02/09 19:22:04,android,1,341,gonogo,{},Go No Go,118.5243328100471,1,0,0e470898-bd87-4697-9375-818eb46bc431,1,1,0,1,X,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.52647975077881,Go No Go,2022/02/09 19:22:06,android,1,326,gonogo,{},Go No Go,117.601246105919,1,0,15d72cc1-44f2-4882-8f2f-3644b1f3574d,1,1,1,1,K,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.33540372670807,Go No Go,2022/02/09 19:22:07,android,1,314,gonogo,{},Go No Go,118.01242236024845,1,0,275fcf11-a315-4ebc-a1a0-a8446bc396e3,1,1,0,1,X,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.33540372670807,Go No Go,2022/02/09 19:22:08,android,1,326,gonogo,{},Go No Go,118.10411810411811,1,0,f44c63da-e0eb-4fa4-9ac8-fdda8f42bacf,1,1,1,1,R,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.767005473025804,Go No Go,2022/02/09 19:22:10,android,1,314,gonogo,{},Go No Go,118.84284597341674,1,0,00610b36-4581-4f10-b3cc-c753133708a8,1,1,0,1,X,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.767005473025804,Go No Go,2022/02/09 19:22:11,android,1,329,gonogo,{},Go No Go,117.27912431587178,1,0,26670ee9-22fa-4aad-9dbc-25e4e5f735f5,1,1,1,1,E,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.478599221789885,Go No Go,2022/02/09 19:22:12,android,1,295,gonogo,{},Go No Go,118.28793774319067,1,0,d3bef875-0adf-49b5-9e86-75964c2227d9,1,1,1,1,N,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.032863849765256,Go No Go,2022/02/09 19:22:14,android,1,-1,gonogo,{},Go No Go,118.15336463223787,1,0,440c893e-c748-4da6-822a-05fdfe22f5bc,1,1,1,0,Y,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,61.4307931570762,Go No Go,2022/02/09 19:22:15,android,1,431,gonogo,{},Go No Go,118.97356143079315,1,0,06872c5c-41a0-4202-8951-519e2661335a,1,1,0,1,X,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
930c9348-57fa-4fee-91c7-14ff9d8c2393,GoNoGo,embar-rq0cp,SM-G781U,12,2022-02-09 19:22:39,2022-02-09 19:22:37,[,TRUE,62.009419152276294,Go No Go,2022/02/09 19:22:16,android,1,312,gonogo,{},Go No Go,118.5243328100471,1,0,5530ad29-d45d-4d29-852d-b7a36bc59825,1,1,1,1,C,903ecf158a45a4ec03c5cd145ac4d7ac,3cf70284-ae08-485e-b4f3-d86488df3e7d
